# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 1.225063939613874,2.917759595258777,2.072869719013484,-5.011240722836081,-175.03206729513903,0.0,-0.2090420270603078,-4.783727052701723,-22.78859633914659,-123.77167836723942
 1.237628632116757,2.9430133824416487,2.0099009328781317,-5.0115660308363195,-175.33999766770353,0.0,-0.2323524777754292,-4.303806051797344,-24.50759320165086,-136.81169372906132
 1.2501337064284925,2.9673635947240298,1.9472265158416195,-5.011918799850324,-175.6701825922478,0.0,-0.25898139211364685,-3.8612812752245054,-26.40407536278715,-151.65700849586594
 1.2625775469156195,2.9908184200892567,1.8848542288444363,-5.012302035027421,-176.0248616585149,0.0,-0.2895175004590144,-3.454022635642245,-28.50237968206066,-168.6219235487776
 1.2749583981850352,3.013386142919992,1.8227924994530977,-5.012719080524711,-176.40657639148378,0.0,-0.32467609927803165,-3.079992651826412,-30.831057143205854,-188.0870232968313
 1.287274351072511,3.0350751577757316,1.7610504890608332,-5.013173642053316,-176.81822181263976,0.0,-0.3653312336205421,-2.737242009366952,-33.42375737524462,-210.51560165314424
 1.299523327536203,3.055893985663974,1.69963816568292,-5.0136698000808275,-177.2631086920504,0.0,-0.4125573632726391,-2.423905349955295,-36.32033098678677,-236.47474710463294
 1.31170306460023,3.0758512933570272,1.6385663818636456,-5.01421200623874,-177.74503909624718,0.0,-0.4676836944593728,-2.13819727274428,-39.56821084587759,-266.66255946390686
 1.3238110976479829,3.094955916451645,1.5778469565841773,-5.014805050497992,-178.26839856222588,0.0,-0.5323655533612707,-1.8784085365519247,-43.224152421340904,-301.94347513296526
 1.3358447436059728,3.1132168870581043,1.5174927590698049,-5.015453980038296,-178.8382691772829,0.0,-0.6086788659168775,-1.642902449871756,-47.35643852631777,-343.3943560748643
 1.347801084932035,3.130643467254431,1.4575177908597226,-5.016163939661896,-179.46056909204864,0.0,-0.6992462077594619,-1.430111438436283,-52.04768731462088,-392.36490999778056
 1.3596769558959905,3.1472451897714957,1.397937260134643,-5.016939886422883,179.85777436154643,0.0,-0.8074063182794851,-1.2385337807746115,30256.167698703037,2552083.5884800605
 1.3714689335237966,3.1630319078153493,1.3387676386552492,-5.0177861039922975,179.1086086050126,0.0,-0.9374438964478694,-1.066730503861795,-63.531816305968576,-2571214.1315052565
 1.3831733369350205,3.1780138565261002,1.280026686057665,-5.01870539947851,178.2822845945576,0.0,-1.0949035790245507,-0.91332243236514,-70.59941300917424,-603.8408327953048
